Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Albania,2005,male,5-14 years,0,291367,0,0.695,8158548717,2931,Millenials
Albania,2005,male,55-74 years,0,214118,0,0.695,8158548717,2931,Silent
Albania,2005,male,75+ years,0,38471,0,0.695,8158548717,2931,Silent
Albania,2006,female,15-24 years,0,283138,0,0.683,8992642349,3235,Millenials
Albania,2006,female,25-34 years,0,186391,0,0.683,8992642349,3235,Generation X
Albania,2006,female,35-54 years,0,388746,0,0.683,8992642349,3235,Boomers
Albania,2006,female,5-14 years,0,267316,0,0.683,8992642349,3235,Millenials
Albania,2006,female,55-74 years,0,215907,0,0.683,8992642349,3235,Silent
Albania,2006,female,75+ years,0,56011,0,0.683,8992642349,3235,Silent
Albania,2006,male,15-24 years,0,286679,0,0.683,8992642349,3235,Millenials
Albania,2006,male,25-34 years,0,174092,0,0.683,8992642349,3235,Generation X
Albania,2006,male,35-54 years,0,379076,0,0.683,8992642349,3235,Boomers
Albania,2006,male,5-14 years,0,282678,0,0.683,8992642349,3235,Millenials
Albania,2006,male,55-74 years,0,219360,0,0.683,8992642349,3235,Silent
Albania,2006,male,75+ years,0,40782,0,0.683,8992642349,3235,Silent
Albania,2007,male,75+ years,8,42366,18.88,0.683,10701011897,3863,Silent
Albania,2007,male,35-54 years,29,378626,7.66,0.683,10701011897,3863,Boomers
Albania,2007,male,55-74 years,14,224160,6.25,0.683,10701011897,3863,Silent
Albania,2007,female,75+ years,3,57404,5.23,0.683,10701011897,3863,Silent
Albania,2007,male,25-34 years,9,172494,5.22,0.683,10701011897,3863,Generation X
Albania,2007,female,15-24 years,13,281080,4.63,0.683,10701011897,3863,Millenials
Albania,2007,male,15-24 years,13,288349,4.51,0.683,10701011897,3863,Millenials
Albania,2007,female,25-34 years,8,183629,4.36,0.683,10701011897,3863,Generation X
Albania,2007,female,55-74 years,9,221120,4.07,0.683,10701011897,3863,Silent
Albania,2007,female,35-54 years,14,391811,3.57,0.683,10701011897,3863,Boomers
Albania,2007,male,5-14 years,4,272497,1.47,0.683,10701011897,3863,Generation Z
Albania,2007,female,5-14 years,0,256808,0,0.683,10701011897,3863,Generation Z
Albania,2008,male,25-34 years,21,172855,12.15,0.683,12881352688,4672,Generation X
Albania,2008,male,35-54 years,37,377119,9.81,0.683,12881352688,4672,Boomers
Albania,2008,male,55-74 years,21,228672,9.18,0.683,12881352688,4672,Silent
Albania,2008,female,75+ years,5,59369,8.42,0.683,12881352688,4672,Silent
Albania,2008,female,15-24 years,20,276073,7.24,0.683,12881352688,4672,Millenials
Albania,2008,female,25-34 years,9,182663,4.93,0.683,12881352688,4672,Generation X
Albania,2008,female,35-54 years,19,393832,4.82,0.683,12881352688,4672,Boomers
Albania,2008,male,75+ years,2,44574,4.49,0.683,12881352688,4672,Silent
Albania,2008,male,15-24 years,11,286702,3.84,0.683,12881352688,4672,Millenials
Albania,2008,female,55-74 years,7,226448,3.09,0.683,12881352688,4672,Silent
Albania,2008,male,5-14 years,7,262464,2.67,0.683,12881352688,4672,Generation Z
Albania,2008,female,5-14 years,1,246288,0.41,0.683,12881352688,4672,Generation Z
Albania,2009,female,15-24 years,0,270003,0,0.683,12044212904,4387,Millenials
Albania,2009,female,25-34 years,0,182712,0,0.683,12044212904,4387,Generation X
Albania,2009,female,35-54 years,0,394286,0,0.683,12044212904,4387,Boomers
Albania,2009,female,5-14 years,0,236174,0,0.683,12044212904,4387,Generation Z
Albania,2009,female,55-74 years,0,233302,0,0.683,12044212904,4387,Silent
Albania,2009,female,75+ years,0,61582,0,0.683,12044212904,4387,Silent
Albania,2009,male,15-24 years,0,283448,0,0.683,12044212904,4387,Millenials
Albania,2009,male,25-34 years,0,174955,0,0.683,12044212904,4387,Generation X
Albania,2009,male,35-54 years,0,374365,0,0.683,12044212904,4387,Boomers
Albania,2009,male,5-14 years,0,253007,0,0.683,12044212904,4387,Generation Z
Albania,2009,male,55-74 years,0,234570,0,0.683,12044212904,4387,Silent
Albania,2009,male,75+ years,0,47331,0,0.683,12044212904,4387,Silent
Albania,2010,male,55-74 years,20,241852,8.27,0.722,11926953259,4359,Silent
Albania,2010,male,35-54 years,20,371611,5.38,0.722,11926953259,4359,Generation X
Albania,2010,male,25-34 years,9,179720,5.01,0.722,11926953259,4359,Generation X
Albania,2010,male,75+ years,2,50767,3.94,0.722,11926953259,4359,Silent
Albania,2010,male,15-24 years,10,279508,3.58,0.722,11926953259,4359,Millenials
Albania,2010,female,25-34 years,6,183579,3.27,0.722,11926953259,4359,Generation X
Albania,2010,female,75+ years,2,64415,3.1,0.722,11926953259,4359,Silent
Albania,2010,female,35-54 years,12,394593,3.04,0.722,11926953259,4359,Generation X
Albania,2010,female,55-74 years,7,241491,2.9,0.722,11926953259,4359,Silent
Albania,2010,female,15-24 years,6,263581,2.28,0.722,11926953259,4359,Millenials
Albania,2010,female,5-14 years,2,223969,0.89,0.722,11926953259,4359,Generation Z
Albania,2010,male,5-14 years,0,240939,0,0.722,11926953259,4359,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0,7709,0,0.683,240923926,3850,Generation X
Antigua and Barbuda,1985,female,25-34 years,0,6344,0,0.683,240923926,3850,Boomers
Antigua and Barbuda,1985,female,35-54 years,0,6173,0,0.683,240923926,3850,Silent
Antigua and Barbuda,1985,female,5-14 years,0,7339,0,0.683,240923926,3850,Generation X
Antigua and Barbuda,1985,female,55-74 years,0,3778,0,0.683,240923926,3850,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0,949,0,0.683,240923926,3850,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0,7667,0,0.683,240923926,3850,Generation X
Antigua and Barbuda,1985,male,25-34 years,0,6194,0,0.683,240923926,3850,Boomers
Antigua and Barbuda,1985,male,35-54 years,0,5970,0,0.683,240923926,3850,Silent
Antigua and Barbuda,1985,male,5-14 years,0,7304,0,0.683,240923926,3850,Generation X
Antigua and Barbuda,1985,male,55-74 years,0,2723,0,0.683,240923926,3850,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0,424,0,0.683,240923926,3850,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0,7668,0,0.683,290440148,4740,Generation X
Antigua and Barbuda,1986,female,25-34 years,0,6209,0,0.683,290440148,4740,Boomers
Antigua and Barbuda,1986,female,35-54 years,0,6101,0,0.683,290440148,4740,Silent
Antigua and Barbuda,1986,female,5-14 years,0,6907,0,0.683,290440148,4740,Generation X
Antigua and Barbuda,1986,female,55-74 years,0,3764,0,0.683,290440148,4740,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0,1014,0,0.683,290440148,4740,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0,7563,0,0.683,290440148,4740,Generation X
Antigua and Barbuda,1986,male,25-34 years,0,6023,0,0.683,290440148,4740,Boomers
Antigua and Barbuda,1986,male,35-54 years,0,5947,0,0.683,290440148,4740,Silent
Antigua and Barbuda,1986,male,5-14 years,0,6827,0,0.683,290440148,4740,Generation X
Antigua and Barbuda,1986,male,55-74 years,0,2771,0,0.683,290440148,4740,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0,476,0,0.683,290440148,4740,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0,7583,0,0.683,337174852,5595,Generation X
Antigua and Barbuda,1987,female,25-34 years,0,6101,0,0.683,337174852,5595,Boomers
Antigua and Barbuda,1987,female,35-54 years,0,6059,0,0.683,337174852,5595,Silent
Antigua and Barbuda,1987,female,5-14 years,0,6623,0,0.683,337174852,5595,Generation X
Antigua and Barbuda,1987,female,55-74 years,0,3738,0,0.683,337174852,5595,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0,1081,0,0.683,337174852,5595,G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,0,7421,0,0.683,337174852,5595,Generation X
Antigua and Barbuda,1987,male,25-34 years,0,5893,0,0.683,337174852,5595,Boomers
Antigua and Barbuda,1987,male,35-54 years,0,5927,0,0.683,337174852,5595,Silent
Antigua and Barbuda,1987,male,5-14 years,0,6499,0,0.683,337174852,5595,Generation X
Antigua and Barbuda,1987,male,55-74 years,0,2798,0,0.683,337174852,5595,G.I. Generation
Antigua and Barbuda,1987,male,75+ years,0,538,0,0.683,337174852,5595,G.I. Generation
Antigua and Barbuda,1988,female,15-24 years,0,7413,0,0.683,398637741,6693,Generation X
